第1道答案: 9’2051/4181
第931道答案: 6’84899/405240
第932道答案: 3’613/13653
第933道答案: 6640789/10430610
第934道答案: 19111/31655
第935道答案: 25829619/85831546
第936道答案: 70’19015/41769
第937道答案: 1519/113665
第938道答案: 9604170/33950581
第939道答案: 13’766286/1247001
第940道答案: 8’33094661/51606864
第941道答案: 141955/1370293
第942道答案: 9’36/37
第943道答案: 26627695/75928688
第944道答案: 6696/13735
第945道答案: 89278553/107806576
第946道答案: 4’3073467/6129274
第947道答案: 3’33/1240
第948道答案: 279193719/1868841748
第949道答案: 4’384/41245
第950道答案: 1’483471072/1449605279
第951道答案: 29898056/141751375
第952道答案: 1’161234705/236629376
第953道答案: 4’259187/581847
第954道答案: 403048808/1466872045
第955道答案: 3’266031923/391144950
第956道答案: 1388206561/1794965118
第957道答案: 282’3903/18496
第958道答案: 25’10825/10974
第959道答案: 2’102374/249969
第960道答案: 17603/34950
第961道答案: 3’153897/517090
第962道答案: 1’235671/792298
第963道答案: 375513/467039
第964道答案: 41689/450634
第965道答案: 1565680677/1702608352
第966道答案: 1’805113/46450688
第967道答案: 4’36655/142593
第968道答案: 2’101135/137326
第969道答案: 54’158/11739
第970道答案: 6’3283949/3502800
第971道答案: 62139/64961
第972道答案: 33’332657/698320
第973道答案: 1159639429/1714069504
第974道答案: 1850/5157
第975道答案: 4’61/186
第976道答案: 83927/1222705
第977道答案: 16’49985701/72367062
第978道答案: 8350/14421
第979道答案: 3’351/17930
第980道答案: 3’10477223/471996862
第981道答案: 96924/309913
第982道答案: 1’54333/1476629
第983道答案: 2’3955013/18789120
第984道答案: 2049112/2726493
第985道答案: 2’135031681/171760680
第986道答案: 4’52/2799
第987道答案: 1’141401147/462200086
第988道答案: 1’76993/786143
第989道答案: 306550573/401078416
第990道答案: 3’76929/94772
第991道答案: 4284072/12466283
第992道答案: 7’22309/61620
第993道答案: 2’2303/39974
第994道答案: 1’123137/238360
第995道答案: 2’40/4833
第996道答案: 1’40216804/62004711
第997道答案: 7’106649845/176303864
第998道答案: 1’573/8645
第999道答案: 1855481/2273541
第1000道答案: 2’24517773/31758302
第1001道答案: 1696’428183/449861
第1002道答案: 2425/6201
第1003道答案: 29450170/31993467
第1004道答案: 2’6256/10865
第1005道答案: 209810801/295541388
第1006道答案: 4’4254772/6893565
第1007道答案: 2’73909/143040
第1008道答案: 1’155743544/186816351
第1009道答案: 4’31179589/35544666
第1010道答案: 18904/72525
第1011道答案: 61’269/511
第1012道答案: 3’127819/211479
第1013道答案: 2’12021/13300
第1014道答案: 2’2903111/13144950
第1015道答案: 89300221/123878426
第1016道答案: 31977792/634261753
第1017道答案: 1’14955179/168128085
第1018道答案: 346455/1202416
第1019道答案: 12’7012001/8030195
第1020道答案: 1242/214103
第1021道答案: 1217710795/1805296216
第1022道答案: 1’64654775/1686556158
第1023道答案: 3’6607313/60938568
第1024道答案: 1276947296/1298274877
第1025道答案: 91347/168829
第1026道答案: 1’49341/143150
第1027道答案: 3’137/1515
第1028道答案: 13’19916/21987
第1029道答案: 3’2506947/3036880
第1030道答案: 2’93049/182964
第1031道答案: 14’10475/10731
第1032道答案: 9’40141/739266
第1033道答案: 1’18390943/33983100
第1034道答案: 1’992762/1433025
第1035道答案: 1665509/44032506
第1036道答案: 1’125623/1360422
第1037道答案: 5’1369/1790
第1038道答案: 1’10501/78987
第1039道答案: 22725/92708
第1040道答案: 3’318904585/370344418
第1041道答案: 3603270/46031929
第1042道答案: 4’29790134/282944095
第1043道答案: 2’3012/22945
第1044道答案: 2’21522/179465
第1045道答案: 183’141/437
第1046道答案: 397813/2702955
第1047道答案: 5096763/15376880
第1048道答案: 3’589269/771800
第1049道答案: 28963904/149508215
第1050道答案: 83’12034581/24449209
第1051道答案: 81283129/660504580
第1052道答案: 1’544573/21492275
第1053道答案: 1’11885557/27501712
第1054道答案: 2’13619/29210
第1055道答案: 5’79349/282096
第1056道答案: 15617/153435
第1057道答案: 1’605096228/1453494379
第1058道答案: 85192/472739
第1059道答案: 41’315283/476652
第1060道答案: 68152/158457
第1061道答案: 42501169/82786486
第1062道答案: 5’6684009/26936977
第1063道答案: 7059448/9129543
第1064道答案: 803257/1109328
第1065道答案: 7’2005519/2897720
第1066道答案: 648802095/959055823
第1067道答案: 27504491/236047675
第1068道答案: 1’22907/79768
第1069道答案: 19383/224825
第1070道答案: 4’503483/716968
第1071道答案: 3’57723/75445
第1072道答案: 374883/12274000
第1073道答案: 2337859/13215208
第1074道答案: 616’204719/327726
第1075道答案: 977/6467
第1076道答案: 803312795/840979124
第1077道答案: 105559/390894
第1078道答案: 34405/50622
第1079道答案: 1’35173405/303628927
第1080道答案: 1’2643797/96254760
第1081道答案: 1’6215357/379871841
第1082道答案: 36869/191290
第1083道答案: 3’24476637/48792059
第1084道答案: 2’38891842/156631473
第1085道答案: 2’7791/11993
第1086道答案: 18389779/34012515
第1087道答案: 316’3827935/4996299
第1088道答案: 5’114418733/324997240
第1089道答案: 3’8247/9880
第1090道答案: 1’5587/8372
第1091道答案: 15’3879805/3953469
第1092道答案: 2’188314/285219
第1093道答案: 23529/37496
第1094道答案: 1’264587/503184
第1095道答案: 5’2671/4216
第1096道答案: 1’1688/9321
第1097道答案: 1’11609/90815
第1098道答案: 4’499/1694
第1099道答案: 2043/3451
第1100道答案: 2’126536/338519
第1101道答案: 3920/76647
第1102道答案: 14299/27720
第1103道答案: 139268509/498907933
第1104道答案: 1’161528230/634011007
第1105道答案: 7102/29029
第1106道答案: 26909/138567
第1107道答案: 2’146612/148889
第1108道答案: 1’63289/106175
第1109道答案: 2’52565187/92489200
第1110道答案: 499/14455
第1111道答案: 56’971779/1585216
第1112道答案: 1’9335959/202975920
第1113道答案: 2’583187/1484700
第1114道答案: 1’4114628/124888257
第1115道答案: 108304557/348266048
第1116道答案: 79580/40741839
第1117道答案: 7’4067597/5329800
第1118道答案: 145513/172935
第1119道答案: 339467332/1067935679
第1120道答案: 1179659/6462120
第1121道答案: 1156602008/1564091917
第1122道答案: 1’12809/125840
第1123道答案: 10’976042/1128825
第1124道答案: 30’1913/10538
第1125道答案: 12’1901/26880
第1126道答案: 12528284/20874825
第1127道答案: 320875754/1967822115
第1128道答案: 3’8973947/12000339
第1129道答案: 3796/30973
第1130道答案: 7’375/527
第1131道答案: 12’25523/44916
第1132道答案: 1’146479/192400
第1133道答案: 1’12286/57627
第1134道答案: 25538/1099593
第1135道答案: 1’366151104/661663865
第1136道答案: 1137898/3938695
第1137道答案: 1’67645777/279006584
第1138道答案: 1’1145251/2426490
第1139道答案: 121535/161882
第1140道答案: 4’754979/1085644
第1141道答案: 9’679643/759150
第1142道答案: 80608/279189
第1143道答案: 1’6854/8525
第1144道答案: 1365/4736
第1145道答案: 4101916/7105505
第1146道答案: 1’83435347/146680722
第1147道答案: 21’138/743
第1148道答案: 1859/3616
第1149道答案: 1’13361/21964
第1150道答案: 2’44507/111488
第1151道答案: 1’111699725/169304811
第1152道答案: 2’26186/146211
第1153道答案: 4’504605/1681614
第1154道答案: 1’367613/434700
第1155道答案: 37011/120196
第1156道答案: 5461773/24562421
第1157道答案: 687698/11050235
第1158道答案: 331/321886
第1159道答案: 5575/9008
第1160道答案: 7’47204687/229779613
第1161道答案: 9’1912/155325
第1162道答案: 137863/170525
第1163道答案: 1’6537247/9016392
第1164道答案: 30’1294/14535
第1165道答案: 708787928/987033189
第1166道答案: 5’6324295/12672176
第1167道答案: 5083/5835
第1168道答案: 3’2769/3683
第1169道答案: 3’34416773/48732138
第1170道答案: 2’66420781/231721880
第1171道答案: 1’11436/24185
第1172道答案: 42731/50484
第1173道答案: 6271849/8584785
第1174道答案: 1’2377/3135
第1175道答案: 863968/876123
第1176道答案: 1’21821/63393
第1177道答案: 2’643151/1794870
第1178道答案: 1’271004699/490601770
第1179道答案: 3’415939/592592
第1180道答案: 2’28970618/39257895
第1181道答案: 3467325/18330169
第1182道答案: 15/979
第1183道答案: 1716051061/1966451474
第1184道答案: 19821/33880
第1185道答案: 147387/249002
第1186道答案: 66’2617/1874880
第1187道答案: 7’15841/31694
第1188道答案: 63’712883/1283720
第1189道答案: 4280690/15812907
第1190道答案: 1’44248683/57312779
第1191道答案: 1’1282152/8488961
第1192道答案: 6064/83539
第1193道答案: 1’57745/248136
第1194道答案: 146’34343/51912
第1195道答案: 11651998/14076579
第1196道答案: 1’811/11610
第1197道答案: 27531/279004
第1198道答案: 1’31934047/929665484
第1199道答案: 316786085/1995492302
第1200道答案: 15’1234627/1298603
第1201道答案: 1’37573/202491
第1202道答案: 1’143690/171129
第1203道答案: 990254125/1891117226
第1204道答案: 81497785/173362083
第1205道答案: 33’36231/146545
第1206道答案: 5’314597/2866767
第1207道答案: 1’6491838/10671353
第1208道答案: 42185279/339132742
第1209道答案: 1’933705197/1178989344
第1210道答案: 15’535/2112
第1211道答案: 4’11147/87451
第1212道答案: 1’738697697/839619852
第1213道答案: 1208838163/1224811852
第1214道答案: 234972/675025
第1215道答案: 3’6916278/12556705
第1216道答案: 321325785/431958602
第1217道答案: 4036462/13133505
第1218道答案: 1’113180/238329
第1219道答案: 7’12203/22837
第1220道答案: 1308955089/1631676242
第1221道答案: 2’3095/3626
第1222道答案: 50348/150639
第1223道答案: 38341/66360
第1224道答案: 866709/20562850
第1225道答案: 146278/267155
第1226道答案: 2’2587/6231
第1227道答案: 759688903/934250220
第1228道答案: 1’1051/2821
第1229道答案: 996852036/2106641905
第1230道答案: 2’444700/2270177
第1231道答案: 111969/220384
第1232道答案: 1’30937/54487
第1233道答案: 16’8856761/11817000
第1234道答案: 5’23997/42488
第1235道答案: 1852387127/2096942266
第1236道答案: 84267/470935
第1237道答案: 2900/63147
第1238道答案: 1’3176179/126404894
第1239道答案: 28663/194535
第1240道答案: 2’1287049/3646350
第1241道答案: 119331/122122
第1242道答案: 1’1728404/492253047
第1243道答案: 3’5426350/9158163
第1244道答案: 181471/259290
第1245道答案: 2525/14448
第1246道答案: 5’5772083/10227168
第1247道答案: 10663/24272
第1248道答案: 49’105847/331385
第1249道答案: 9197297/17552580
第1250道答案: 2219/5071
第1251道答案: 643385925/1978956676
第1252道答案: 2057/2612
第1253道答案: 53755/69536
第1254道答案: 1549720/20404197
第1255道答案: 2684/3825
第1256道答案: 1’404383301/469517858
第1257道答案: 67’949/1705
第1258道答案: 2’7142/10845
第1259道答案: 2’5851/29848
第1260道答案: 10’132486/339575
第1261道答案: 13’4745/8358
第1262道答案: 14710514/19244025
第1263道答案: 1’26704283/807564556
第1264道答案: 322740561/1069871338
第1265道答案: 29’4451/5418
第1266道答案: 5803/22815
第1267道答案: 3’8099231/20040705
第1268道答案: 14’157/609
第1269道答案: 382815/631411
第1270道答案: 1’6187/11194
第1271道答案: 4’1902357/2038352
第1272道答案: 26369649/88605020
第1273道答案: 305949/441409
第1274道答案: 29/1804
第1275道答案: 1’404/587
第1276道答案: 127534423/693906434
第1277道答案: 3’5187037/69323120
第1278道答案: 3’10412554/29827857
第1279道答案: 255176/3098595
第1280道答案: 43’9717699/39840823
第1281道答案: 12’3581/27692
第1282道答案: 1’9415/96659
第1283道答案: 3’6496153/21311433
第1284道答案: 3’2721829/5171428
第1285道答案: 2’11935601/12325116
第1286道答案: 23165/71919
第1287道答案: 836992323/1969133956
第1288道答案: 2’18951/181288
第1289道答案: 39846/51245
第1290道答案: 76’237/680
第1291道答案: 3’393243/640420
第1292道答案: 1’70243/186872
第1293道答案: 96593903/100527480
第1294道答案: 701’23/37
第1295道答案: 160071/863380
第1296道答案: 20470/94707
第1297道答案: 68129/134805
第1298道答案: 1’2902821/3524824
第1299道答案: 5’10206880/104973829
第1300道答案: 32053/169334
第1301道答案: 2’180713/204272
第1302道答案: 2’66529087/259180350
第1303道答案: 3’13987935/350229566
第1304道答案: 5’834681/4297810
第1305道答案: 14’225059/254270
第1306道答案: 262959/266752
第1307道答案: 216544011/308105105
第1308道答案: 1’55770695/60247257
第1309道答案: 4’31597/129332
第1310道答案: 27848/70413
